No;User_id;User_Name;Item_id;Item_name;Rating;PostDate;Bintang_Hotel
213;2100;Eunike Lilianna Mustika Dewi;2;Grand Ambarrukmo Yogyakarta;5.0;18/03/2022;4
214;1766;DT;2;Grand Ambarrukmo Yogyakarta;4.2;18/03/2022;4
215;2593;Han sangkyun;2;Grand Ambarrukmo Yogyakarta;4.0;17/03/2022;4
216;6228;Widya Intan Kusuma Sari;2;Grand Ambarrukmo Yogyakarta;5.0;17/03/2022;4
217;832;AS;2;Grand Ambarrukmo Yogyakarta;5.0;16/03/2022;4
218;3020;Intan Azzahroo;2;Grand Ambarrukmo Yogyakarta;4.8;15/03/2022;4
219;3956;Mr Sahrul;2;Grand Ambarrukmo Yogyakarta;5.0;07/03/2022;4
220;5369;satrio jatmiko;2;Grand Ambarrukmo Yogyakarta;4.4;07/03/2022;4
221;5607;SP;2;Grand Ambarrukmo Yogyakarta;5.0;02/03/2022;4
222;3816;Melati Alifining;2;Grand Ambarrukmo Yogyakarta;4.0;01/03/2022;4
223;95;Adi Henri Setiawan;2;Grand Ambarrukmo Yogyakarta;4.6;28/02/2022;4
224;59;AD;2;Grand Ambarrukmo Yogyakarta;5.0;26/02/2022;4
225;3403;KS;2;Grand Ambarrukmo Yogyakarta;4.0;24/02/2022;4
226;5027;Rima Happy;2;Grand Ambarrukmo Yogyakarta;5.0;23/02/2022;4
227;5969;Tria Dessi Putri;2;Grand Ambarrukmo Yogyakarta;5.0;20/02/2022;4
228;3376;KN;2;Grand Ambarrukmo Yogyakarta;5.0;17/02/2022;4
229;3252;JS;2;Grand Ambarrukmo Yogyakarta;5.0;15/02/2022;4
230;5387;Sek Haw;2;Grand Ambarrukmo Yogyakarta;4.2;15/02/2022;4
231;3175;JEFFRY JEFFRY;2;Grand Ambarrukmo Yogyakarta;5.0;13/02/2022;4
232;2391;FR;2;Grand Ambarrukmo Yogyakarta;4.4;13/02/2022;4
233;1158;CA;2;Grand Ambarrukmo Yogyakarta;5.0;08/02/2022;4
234;2919;IL;2;Grand Ambarrukmo Yogyakarta;4.8;08/02/2022;4
235;6437;Yosefa Maria Mardiana Handjojo;2;Grand Ambarrukmo Yogyakarta;4.0;07/02/2022;4
236;6563;YY;2;Grand Ambarrukmo Yogyakarta;4.8;06/02/2022;4
237;1732;DM;2;Grand Ambarrukmo Yogyakarta;5.0;05/02/2022;4
238;2034;Erika Nurhasanah;2;Grand Ambarrukmo Yogyakarta;3.4;03/02/2022;4
239;671;Anthonyus Sugiantoro;2;Grand Ambarrukmo Yogyakarta;2.0;01/02/2022;4
240;1062;Bernardus Calvin;2;Grand Ambarrukmo Yogyakarta;5.0;01/02/2022;4
241;5214;Rosarie Koesworo;2;Grand Ambarrukmo Yogyakarta;4.0;30/01/2022;4
242;58;ACHMAT LUTHFI YAKIM;2;Grand Ambarrukmo Yogyakarta;4.8;30/01/2022;4
243;4088;Muhammad Said Salam;2;Grand Ambarrukmo Yogyakarta;4.0;27/01/2022;4
244;315;AK;2;Grand Ambarrukmo Yogyakarta;4.0;25/01/2022;4
245;770;Arif Hadi Wibowo;2;Grand Ambarrukmo Yogyakarta;5.0;24/01/2022;4
246;6358;Yekti Kurniawan;2;Grand Ambarrukmo Yogyakarta;2.4;22/01/2022;4
247;5909;TJU HIMAWAN ADRIANTO;2;Grand Ambarrukmo Yogyakarta;4.0;19/01/2022;4
248;4435;Nurjamil Zainuddin;2;Grand Ambarrukmo Yogyakarta;5.0;16/01/2022;4
249;5840;TH;2;Grand Ambarrukmo Yogyakarta;3.0;15/01/2022;4
250;915;AW;2;Grand Ambarrukmo Yogyakarta;5.0;14/01/2022;4
251;6251;Willy Prayogo Choiss;2;Grand Ambarrukmo Yogyakarta;4.0;12/01/2022;4
252;249;AH;2;Grand Ambarrukmo Yogyakarta;4.0;07/01/2022;4
